1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: A50000001498DF41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Feb 24 18:16:01 CST 2012
Mission Sample Count:  2134
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Fri Feb 24 18:16:01 CST 2012
Total Mission Samples:  2134
Total Device Samples:  31031
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
2/24/12 6:16:01 PM,C,11.631
2/24/12 7:16:01 PM,C,1.572
2/24/12 8:16:01 PM,C,-0.444
2/24/12 9:16:01 PM,C,-1.956
2/24/12 10:16:01 PM,C,-2.461
2/24/12 11:16:01 PM,C,-2.965
2/25/12 12:16:01 AM,C,-2.965
2/25/12 1:16:01 AM,C,-3.974
2/25/12 2:16:01 AM,C,-3.974
2/25/12 3:16:01 AM,C,-3.974
2/25/12 4:16:01 AM,C,-0.444
2/25/12 5:16:01 AM,C,1.572
2/25/12 6:16:01 AM,C,-1.452
2/25/12 7:16:01 AM,C,-0.948
2/25/12 8:16:01 AM,C,0.06
2/25/12 9:16:01 AM,C,6.605
2/25/12 10:16:01 AM,C,8.617
2/25/12 11:16:01 AM,C,11.129
2/25/12 12:16:01 PM,C,12.635
2/25/12 1:16:01 PM,C,16.649
2/25/12 2:16:01 PM,C,15.144
2/25/12 3:16:01 PM,C,16.147
2/25/12 4:16:01 PM,C,14.141
2/25/12 5:16:01 PM,C,13.639
2/25/12 6:16:01 PM,C,11.129
2/25/12 7:16:01 PM,C,7.108
2/25/12 8:16:01 PM,C,4.09
2/25/12 9:16:01 PM,C,3.083
2/25/12 10:16:01 PM,C,7.611
2/25/12 11:16:01 PM,C,9.622
2/26/12 12:16:01 AM,C,9.119
2/26/12 1:16:01 AM,C,9.119
2/26/12 2:16:01 AM,C,9.119
2/26/12 3:16:01 AM,C,9.119
2/26/12 4:16:01 AM,C,8.114
2/26/12 5:16:01 AM,C,5.096
2/26/12 6:16:01 AM,C,4.09
2/26/12 7:16:01 AM,C,5.599
2/26/12 8:16:01 AM,C,8.114
2/26/12 9:16:01 AM,C,14.141
2/26/12 10:16:01 AM,C,16.147
2/26/12 11:16:01 AM,C,18.653
2/26/12 12:16:01 PM,C,19.154
2/26/12 1:16:01 PM,C,21.658
2/26/12 2:16:01 PM,C,20.657
2/26/12 3:16:01 PM,C,21.158
2/26/12 4:16:01 PM,C,19.154
2/26/12 5:16:01 PM,C,19.154
2/26/12 6:16:01 PM,C,15.646
2/26/12 7:16:01 PM,C,9.119
2/26/12 8:16:01 PM,C,6.605
2/26/12 9:16:01 PM,C,6.102
2/26/12 10:16:01 PM,C,5.599
2/26/12 11:16:01 PM,C,5.599
2/27/12 12:16:01 AM,C,4.593
2/27/12 1:16:01 AM,C,4.09
2/27/12 2:16:01 AM,C,4.09
2/27/12 3:16:01 AM,C,3.586
2/27/12 4:16:01 AM,C,3.083
2/27/12 5:16:01 AM,C,3.586
2/27/12 6:16:01 AM,C,3.083
2/27/12 7:16:01 AM,C,2.579
2/27/12 8:16:01 AM,C,3.083
2/27/12 9:16:01 AM,C,8.617
2/27/12 10:16:01 AM,C,12.133
2/27/12 11:16:01 AM,C,16.147
2/27/12 12:16:01 PM,C,17.15
2/27/12 1:16:01 PM,C,18.653
2/27/12 2:16:01 PM,C,18.653
2/27/12 3:16:01 PM,C,18.152
2/27/12 4:16:01 PM,C,18.653
2/27/12 5:16:01 PM,C,16.649
2/27/12 6:16:01 PM,C,13.639
2/27/12 7:16:01 PM,C,11.129
2/27/12 8:16:01 PM,C,10.627
2/27/12 9:16:01 PM,C,11.129
2/27/12 10:16:01 PM,C,12.635
2/27/12 11:16:01 PM,C,12.635
2/28/12 12:16:01 AM,C,11.631
2/28/12 1:16:01 AM,C,11.631
2/28/12 2:16:01 AM,C,12.635
2/28/12 3:16:01 AM,C,13.137
2/28/12 4:16:01 AM,C,13.137
2/28/12 5:16:01 AM,C,12.635
2/28/12 6:16:01 AM,C,12.635
2/28/12 7:16:01 AM,C,12.133
2/28/12 8:16:01 AM,C,13.137
2/28/12 9:16:01 AM,C,15.646
2/28/12 10:16:01 AM,C,16.649
2/28/12 11:16:01 AM,C,19.154
2/28/12 12:16:01 PM,C,20.156
2/28/12 1:16:01 PM,C,22.159
2/28/12 2:16:01 PM,C,21.658
2/28/12 3:16:01 PM,C,21.658
2/28/12 4:16:01 PM,C,21.158
2/28/12 5:16:01 PM,C,20.657
2/28/12 6:16:01 PM,C,18.152
2/28/12 7:16:01 PM,C,14.643
2/28/12 8:16:01 PM,C,11.631
2/28/12 9:16:01 PM,C,9.119
2/28/12 10:16:01 PM,C,10.124
2/28/12 11:16:01 PM,C,7.108
2/29/12 12:16:01 AM,C,5.096
2/29/12 1:16:01 AM,C,5.096
2/29/12 2:16:01 AM,C,3.586
2/29/12 3:16:01 AM,C,8.114
2/29/12 4:16:01 AM,C,7.611
2/29/12 5:16:01 AM,C,7.108
2/29/12 6:16:01 AM,C,6.605
2/29/12 7:16:01 AM,C,7.108
2/29/12 8:16:01 AM,C,7.108
2/29/12 9:16:01 AM,C,10.627
2/29/12 10:16:01 AM,C,13.137
2/29/12 11:16:01 AM,C,15.646
2/29/12 12:16:01 PM,C,15.646
2/29/12 1:16:01 PM,C,17.651
2/29/12 2:16:01 PM,C,16.649
2/29/12 3:16:01 PM,C,17.15
2/29/12 4:16:01 PM,C,16.649
2/29/12 5:16:01 PM,C,15.144
2/29/12 6:16:01 PM,C,13.639
2/29/12 7:16:01 PM,C,7.611
2/29/12 8:16:01 PM,C,4.593
2/29/12 9:16:01 PM,C,4.593
2/29/12 10:16:01 PM,C,4.09
2/29/12 11:16:01 PM,C,6.605
3/1/12 12:16:01 AM,C,9.622
3/1/12 1:16:01 AM,C,10.124
3/1/12 2:16:01 AM,C,9.622
3/1/12 3:16:01 AM,C,10.124
3/1/12 4:16:01 AM,C,10.627
3/1/12 5:16:01 AM,C,11.129
3/1/12 6:16:01 AM,C,10.124
3/1/12 7:16:01 AM,C,9.622
3/1/12 8:16:01 AM,C,10.627
3/1/12 9:16:01 AM,C,14.141
3/1/12 10:16:01 AM,C,14.643
3/1/12 11:16:01 AM,C,16.649
3/1/12 12:16:01 PM,C,17.15
3/1/12 1:16:01 PM,C,19.154
3/1/12 2:16:01 PM,C,19.154
3/1/12 3:16:01 PM,C,19.655
3/1/12 4:16:01 PM,C,18.653
3/1/12 5:16:01 PM,C,18.152
3/1/12 6:16:01 PM,C,16.147
3/1/12 7:16:01 PM,C,11.129
3/1/12 8:16:01 PM,C,9.119
3/1/12 9:16:01 PM,C,10.627
3/1/12 10:16:01 PM,C,11.129
3/1/12 11:16:01 PM,C,9.622
3/2/12 12:16:01 AM,C,7.108
3/2/12 1:16:01 AM,C,8.114
3/2/12 2:16:01 AM,C,8.114
3/2/12 3:16:01 AM,C,9.119
3/2/12 4:16:01 AM,C,7.108
3/2/12 5:16:01 AM,C,9.119
3/2/12 6:16:01 AM,C,9.622
3/2/12 7:16:01 AM,C,9.622
3/2/12 8:16:01 AM,C,10.627
3/2/12 9:16:01 AM,C,13.639
3/2/12 10:16:01 AM,C,15.144
3/2/12 11:16:01 AM,C,15.646
3/2/12 12:16:01 PM,C,16.147
3/2/12 1:16:01 PM,C,17.15
3/2/12 2:16:01 PM,C,17.651
3/2/12 3:16:01 PM,C,18.152
3/2/12 4:16:01 PM,C,17.15
3/2/12 5:16:01 PM,C,17.15
3/2/12 6:16:01 PM,C,14.643
3/2/12 7:16:01 PM,C,12.635
3/2/12 8:16:01 PM,C,11.129
3/2/12 9:16:01 PM,C,9.622
3/2/12 10:16:01 PM,C,6.605
3/2/12 11:16:01 PM,C,3.083
3/3/12 12:16:01 AM,C,2.076
3/3/12 1:16:01 AM,C,0.564
3/3/12 2:16:01 AM,C,-0.948
3/3/12 3:16:01 AM,C,-1.956
3/3/12 4:16:01 AM,C,-1.956
3/3/12 5:16:01 AM,C,-2.965
3/3/12 6:16:01 AM,C,-4.984
3/3/12 7:16:01 AM,C,-5.993
3/3/12 8:16:01 AM,C,-4.479
3/3/12 9:16:01 AM,C,1.572
3/3/12 10:16:01 AM,C,4.09
3/3/12 11:16:01 AM,C,6.102
3/3/12 12:16:01 PM,C,7.108
3/3/12 1:16:01 PM,C,8.617
3/3/12 2:16:01 PM,C,9.119
3/3/12 3:16:01 PM,C,9.622
3/3/12 4:16:01 PM,C,9.119
3/3/12 5:16:01 PM,C,8.617
3/3/12 6:16:01 PM,C,7.108
3/3/12 7:16:01 PM,C,5.599
3/3/12 8:16:01 PM,C,5.599
3/3/12 9:16:01 PM,C,6.102
3/3/12 10:16:01 PM,C,5.599
3/3/12 11:16:01 PM,C,5.599
3/4/12 12:16:01 AM,C,1.068
3/4/12 1:16:01 AM,C,-1.956
3/4/12 2:16:01 AM,C,-2.461
3/4/12 3:16:01 AM,C,-0.948
3/4/12 4:16:01 AM,C,2.579
3/4/12 5:16:01 AM,C,6.605
3/4/12 6:16:01 AM,C,6.605
3/4/12 7:16:01 AM,C,7.108
3/4/12 8:16:01 AM,C,8.617
3/4/12 9:16:01 AM,C,10.627
3/4/12 10:16:01 AM,C,13.639
3/4/12 11:16:01 AM,C,17.15
3/4/12 12:16:01 PM,C,16.649
3/4/12 1:16:01 PM,C,17.15
3/4/12 2:16:01 PM,C,16.649
3/4/12 3:16:01 PM,C,17.651
3/4/12 4:16:01 PM,C,17.15
3/4/12 5:16:01 PM,C,16.649
3/4/12 6:16:01 PM,C,13.137
3/4/12 7:16:01 PM,C,7.108
3/4/12 8:16:01 PM,C,3.586
3/4/12 9:16:01 PM,C,3.083
3/4/12 10:16:01 PM,C,2.579
3/4/12 11:16:01 PM,C,1.572
3/5/12 12:16:01 AM,C,0.564
3/5/12 1:16:01 AM,C,0.564
3/5/12 2:16:01 AM,C,-0.948
3/5/12 3:16:01 AM,C,-0.444
3/5/12 4:16:01 AM,C,-0.948
3/5/12 5:16:01 AM,C,-0.444
3/5/12 6:16:01 AM,C,-0.444
3/5/12 7:16:01 AM,C,-0.948
3/5/12 8:16:01 AM,C,1.572
3/5/12 9:16:01 AM,C,15.646
3/5/12 10:16:01 AM,C,17.15
3/5/12 11:16:01 AM,C,20.657
3/5/12 12:16:01 PM,C,20.657
3/5/12 1:16:01 PM,C,22.659
3/5/12 2:16:01 PM,C,22.159
3/5/12 3:16:01 PM,C,21.658
3/5/12 4:16:01 PM,C,21.658
3/5/12 5:16:01 PM,C,20.657
3/5/12 6:16:01 PM,C,16.147
3/5/12 7:16:01 PM,C,10.627
3/5/12 8:16:01 PM,C,8.114
3/5/12 9:16:01 PM,C,8.114
3/5/12 10:16:01 PM,C,7.108
3/5/12 11:16:01 PM,C,5.599
3/6/12 12:16:01 AM,C,5.599
3/6/12 1:16:01 AM,C,7.611
3/6/12 2:16:01 AM,C,6.102
3/6/12 3:16:01 AM,C,5.599
3/6/12 4:16:01 AM,C,9.119
3/6/12 5:16:01 AM,C,14.643
3/6/12 6:16:01 AM,C,14.643
3/6/12 7:16:01 AM,C,15.144
3/6/12 8:16:01 AM,C,15.646
3/6/12 9:16:01 AM,C,17.651
3/6/12 10:16:01 AM,C,19.655
3/6/12 11:16:01 AM,C,20.657
3/6/12 12:16:01 PM,C,21.658
3/6/12 1:16:01 PM,C,23.16
3/6/12 2:16:01 PM,C,21.658
3/6/12 3:16:01 PM,C,21.658
3/6/12 4:16:01 PM,C,21.158
3/6/12 5:16:01 PM,C,20.657
3/6/12 6:16:01 PM,C,17.15
3/6/12 7:16:01 PM,C,15.144
3/6/12 8:16:01 PM,C,12.635
3/6/12 9:16:01 PM,C,8.617
3/6/12 10:16:01 PM,C,13.639
3/6/12 11:16:01 PM,C,13.639
3/7/12 12:16:01 AM,C,12.635
3/7/12 1:16:01 AM,C,13.137
3/7/12 2:16:01 AM,C,12.635
3/7/12 3:16:01 AM,C,12.133
3/7/12 4:16:01 AM,C,12.133
3/7/12 5:16:01 AM,C,11.631
3/7/12 6:16:01 AM,C,11.631
3/7/12 7:16:01 AM,C,11.631
3/7/12 8:16:01 AM,C,14.141
3/7/12 9:16:01 AM,C,18.152
3/7/12 10:16:01 AM,C,19.154
3/7/12 11:16:01 AM,C,23.66
3/7/12 12:16:01 PM,C,23.66
3/7/12 1:16:01 PM,C,23.16
3/7/12 2:16:01 PM,C,22.659
3/7/12 3:16:01 PM,C,23.16
3/7/12 4:16:01 PM,C,22.659
3/7/12 5:16:01 PM,C,22.159
3/7/12 6:16:01 PM,C,20.156
3/7/12 7:16:01 PM,C,15.144
3/7/12 8:16:01 PM,C,19.154
3/7/12 9:16:01 PM,C,17.651
